scenario,shock,delay,total_shock,LT,close_factor,liq_bonus,slippage,liquidatable_rate,bad_debt_rate
mild,-0.1,0,-0.1,0.75,0.3,0.05,0.0,0.2525,0.20850960896415566
base,-0.2,1,-0.22,0.75,0.3,0.05,0.0,0.6751,0.50870876399747
severe,-0.3,2,-0.35,0.75,0.3,0.05,0.0,0.9547,0.6772839026776118
crisis,-0.4,3,-0.5,0.75,0.3,0.05,0.0,0.9988,0.699409527340314
mild,-0.1,0,-0.1,0.75,0.3,0.05,0.02,0.2525,0.20850960896415566
base,-0.2,1,-0.22,0.75,0.3,0.05,0.02,0.6751,0.50870876399747
severe,-0.3,2,-0.35,0.75,0.3,0.05,0.02,0.9547,0.6772839026776118
crisis,-0.4,3,-0.5,0.75,0.3,0.05,0.02,0.9988,0.699409527340314
mild,-0.1,0,-0.1,0.75,0.3,0.05,0.05,0.2525,0.20850960896415566
base,-0.2,1,-0.22,0.75,0.3,0.05,0.05,0.6751,0.50870876399747
severe,-0.3,2,-0.35,0.75,0.3,0.05,0.05,0.9547,0.6772839026776118
crisis,-0.4,3,-0.5,0.75,0.3,0.05,0.05,0.9988,0.699409527340314
mild,-0.1,0,-0.1,0.75,0.3,0.08,0.0,0.2525,0.20850960896415566
base,-0.2,1,-0.22,0.75,0.3,0.08,0.0,0.6751,0.50870876399747
severe,-0.3,2,-0.35,0.75,0.3,0.08,0.0,0.9547,0.6772839026776118
crisis,-0.4,3,-0.5,0.75,0.3,0.08,0.0,0.9988,0.699409527340314
mild,-0.1,0,-0.1,0.75,0.3,0.08,0.02,0.2525,0.20850960896415566
base,-0.2,1,-0.22,0.75,0.3,0.08,0.02,0.6751,0.50870876399747
severe,-0.3,2,-0.35,0.75,0.3,0.08,0.02,0.9547,0.6772839026776118
crisis,-0.4,3,-0.5,0.75,0.3,0.08,0.02,0.9988,0.699409527340314
mild,-0.1,0,-0.1,0.75,0.3,0.08,0.05,0.2525,0.20850960896415566
base,-0.2,1,-0.22,0.75,0.3,0.08,0.05,0.6751,0.50870876399747
severe,-0.3,2,-0.35,0.75,0.3,0.08,0.05,0.9547,0.6772839026776118
crisis,-0.4,3,-0.5,0.75,0.3,0.08,0.05,0.9988,0.699409527340314
mild,-0.1,0,-0.1,0.75,0.3,0.12,0.0,0.2525,0.20850960896415566
base,-0.2,1,-0.22,0.75,0.3,0.12,0.0,0.6751,0.50870876399747
severe,-0.3,2,-0.35,0.75,0.3,0.12,0.0,0.9547,0.6772839026776118
crisis,-0.4,3,-0.5,0.75,0.3,0.12,0.0,0.9988,0.699409527340314
mild,-0.1,0,-0.1,0.75,0.3,0.12,0.02,0.2525,0.20850960896415566
base,-0.2,1,-0.22,0.75,0.3,0.12,0.02,0.6751,0.50870876399747
severe,-0.3,2,-0.35,0.75,0.3,0.12,0.02,0.9547,0.6772839026776118
crisis,-0.4,3,-0.5,0.75,0.3,0.12,0.02,0.9988,0.699409527340314
mild,-0.1,0,-0.1,0.75,0.3,0.12,0.05,0.2525,0.20850960896415566
base,-0.2,1,-0.22,0.75,0.3,0.12,0.05,0.6751,0.50870876399747
severe,-0.3,2,-0.35,0.75,0.3,0.12,0.05,0.9547,0.6772839026776118
crisis,-0.4,3,-0.5,0.75,0.3,0.12,0.05,0.9988,0.699409527340314
mild,-0.1,0,-0.1,0.75,0.5,0.05,0.0,0.2525,0.1489354349743969
base,-0.2,1,-0.22,0.75,0.5,0.05,0.0,0.6751,0.36336340285533575
severe,-0.3,2,-0.35,0.75,0.5,0.05,0.0,0.9547,0.48377421619829425
crisis,-0.4,3,-0.5,0.75,0.5,0.05,0.0,0.9988,0.49957823381451005
mild,-0.1,0,-0.1,0.75,0.5,0.05,0.02,0.2525,0.1489354349743969
base,-0.2,1,-0.22,0.75,0.5,0.05,0.02,0.6751,0.36336340285533575
severe,-0.3,2,-0.35,0.75,0.5,0.05,0.02,0.9547,0.48377421619829425
crisis,-0.4,3,-0.5,0.75,0.5,0.05,0.02,0.9988,0.49957875101450966
mild,-0.1,0,-0.1,0.75,0.5,0.05,0.05,0.2525,0.1489354349743969
base,-0.2,1,-0.22,0.75,0.5,0.05,0.05,0.6751,0.36336340285533575
severe,-0.3,2,-0.35,0.75,0.5,0.05,0.05,0.9547,0.48377421619829425
crisis,-0.4,3,-0.5,0.75,0.5,0.05,0.05,0.9988,0.4995796376430806
mild,-0.1,0,-0.1,0.75,0.5,0.08,0.0,0.2525,0.1489354349743969
