LT,close_factor,liq_bonus,slippage,base_bad_debt_rate,crisis_bad_debt_rate,mild_bad_debt_rate,severe_bad_debt_rate,score,base_liquidatable_rate,crisis_liquidatable_rate,mild_liquidatable_rate,severe_liquidatable_rate
0.85,0.8,0.05,0.0,0.06959969642119276,0.25971328130359816,0.010407763617017136,0.16771298435379695,0.23211319221865778,0.2988,0.9933,0.039,0.8067
0.8,0.8,0.05,0.0,0.10724223282779047,0.26046715267759524,0.028070783501799833,0.18379061522560583,0.2374641914419984,0.484,0.9972,0.1141,0.8964
0.85,0.8,0.05,0.02,0.06960061851490648,0.269822379348763,0.010407763617017136,0.16852229971605892,0.23943235545895178,0.2988,0.9933,0.039,0.8067
0.75,0.8,0.05,0.0,0.14534642509641932,0.26069971136260245,0.059574173989758755,0.19464999623659296,0.24088479682479957,0.6751,0.9988,0.2525,0.9547
0.85,0.8,0.08,0.0,0.06960097710690624,0.27395824318134415,0.010407763617017136,0.16893516184695417,0.24245131878102713,0.2988,0.9933,0.039,0.8067
0.8,0.8,0.05,0.02,0.10724315492150417,0.27057625072276004,0.028070783501799833,0.18459993058786778,0.24478335468229234,0.484,0.9972,0.1141,0.8964
0.8,0.8,0.08,0.0,0.10724351351350396,0.2747121145553412,0.028070783501799833,0.18501279271876309,0.24780231800436778,0.484,0.9972,0.1141,0.8964
0.75,0.8,0.05,0.02,0.145347347190133,0.2708088094077673,0.059574173989758755,0.195459311598855,0.2482039600650936,0.6751,0.9988,0.2525,0.9547
0.85,0.8,0.08,0.02,0.06960187358690569,0.284733779500934,0.010407763617017136,0.17023491309554206,0.2503841195793164,0.2988,0.9933,0.039,0.8067
0.75,0.8,0.08,0.0,0.14534770578213277,0.2749446732403484,0.059574173989758755,0.19587217372975024,0.25122292338716895,0.6751,0.9988,0.2525,0.9547
